,0016302dde16c391d8cbb0b04f0a14f3,0c662384f9a727304d03eab4a11de40c,0f3973c3bfff674f128bc5a29bbf17ae,13fa5dfb070bab32d7cd0911d682eae2,1ef7556e0472eef35c1b0e3356674551,1f1800f46b6470001bd7b2eae3e6777d,238465f10446c19e4baa04987ec7b85a,26528c15dcc3891f768575cf82d4a0b5,3daf78f9268a57e4031a1986f1c923df,4035a52fc96b508a86db385b0af1a36f,4bc3821cb2319a00ab5607e05776d689,4cf6abad36e73f68487cf5d6db9fc6d6,51df8445f266970bdcc377fee2cead64,594210f301e8c7f92fae3958026dc834,5b232da59bbb91b2e5cd011698dec97a,63a52afbb1f6f91ffe90d0fc681104f8,65ed672af933c88c445fed9e78fa461c,69c4a4d2284dfc5aab915b0448924538,6a8f5c996f7ae964fe949c4cd292a3d2,728c5fedefe7c46b0f219a537b52227b,76f63555925aaec355aebe36564cad2b,78cb23fd1e36c41958a1d11d506bfa1d,7ad34dc98f14ff86140c55664da735e8,897c8bef051638f0390db8164e4071af,91d03df2dfeb93a6acc95041a2a559dc,93c42d1806632cb767f9d82e4d1448d4,9ee0e32b9dc42d36b9db08dcc459f677,b583b72284ef0c92af80789adb2318d3,bed7150b362a3497b231e2d1a89d4931,d860839054dd9ad5fe8dad0009a21420,d9ef5a8a190cdb915315e6b99d911f8d,dab1302462bff290b394b3958555e672,df4888f1235a3b2e3a76c0205c659bda,e0c733734138e9d6abae05a9bd39777a,e914228dc88dc3dc0ca229eb5fb7b83d,e98725484f3dc2c37b9985008ef386e0,ff2df49554c12220b2380ce6b422f0f8
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,0.7603,,0.0516,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,
21,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,0.6369,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,0.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,
92,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,0.6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,0.7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5859,
96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,0.5766,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4824,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,
105,,,,,,,,0.6369,,,,,,,,,,,,,,,,,,0.296,,,,,,,0.296,,0.0,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,
107,,,,,,,,0.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,0.4466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4466
115,,,,0.7603,,,,,,,,,,,,,,,0.5766,,,,,,,,,,,,,,,,,,0.6124
116,,,,,,,,,,,,,,,,,,,,,,,0.0516,,,,,0.0,,,,,,,0.0,,0.4466
117,,,,,,,,,,,,0.7603,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,0.7603,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,0.7003,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,0.7603,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,
124,,,,0.8941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,0.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,0.7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,0.7603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,0.7351,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,0.6166,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,-0.5859,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,-0.1027,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,-0.5574,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,0.3612,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,0.1779,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,-0.2263,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,0.4939,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4588,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215,,
177,,,,,,,,,,,,,,,,,,,,,0.5574,,,,,,,,,,,,,,0.4215,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
